country,year,child_mortality,children_per_woman,life_expectancy,continent,pop,gdpPercap
Afghanistan,1952,407,7.55,43.1,Asia,8425333,779.4453145
Afghanistan,1957,376,7.49,44.3,Asia,9240934,820.8530296
Afghanistan,1962,345,7.45,45.5,Asia,10267083,853.10071
Afghanistan,1967,319,7.45,46.5,Asia,11537966,836.1971382
Afghanistan,1972,292,7.45,47.3,Asia,13079460,739.9811058
Afghanistan,1977,263,7.45,47.9,Asia,14880372,786.11336
Afghanistan,1982,231,7.45,44.1,Asia,12881816,978.0114388
Afghanistan,1987,198,7.46,45.9,Asia,13867957,852.3959448
Afghanistan,1992,167,7.5,54.2,Asia,16317921,649.3413952
Afghanistan,1997,142,7.64,54.5,Asia,22227415,635.341351
Afghanistan,2002,121,7.27,55.5,Asia,25268405,726.7340548
Afghanistan,2007,100,6.46,58.5,Asia,31889923,974.5803384
Angola,1952,329,7.15,45.6,Africa,4232095,3520.610273
Angola,1957,317,7.31,45.8,Africa,4561361,3827.940465
Angola,1962,302,7.56,45,Africa,4826015,4269.276742
Angola,1967,283,7.61,46,Africa,5247469,5522.776375
Angola,1972,263,7.61,47,Africa,5894858,5473.288005
Angola,1977,246,7.59,47.7,Africa,6162675,3008.647355
Angola,1982,232,7.44,48.2,Africa,7016384,2756.953672
Angola,1987,224,7.35,48.6,Africa,7874230,2430.208311
Angola,1992,224,7.13,50.3,Africa,8735988,2627.845685
Angola,1997,219,6.79,51.6,Africa,9875024,2277.140884
Angola,2002,193,6.57,54.5,Africa,10866106,2773.287312
Angola,2007,148,6.37,58,Africa,12420476,4797.231267
Albania,1952,258,6.13,54.5,Europe,1282697,1601.056136
Albania,1957,211,6.53,59.3,Europe,1476505,1942.284244
Albania,1962,173,6.28,63.3,Europe,1728137,2312.888958
Albania,1967,142,5.39,66.1,Europe,1984060,2760.196931
Albania,1972,116,4.64,68.8,Europe,2263554,3313.422188
Albania,1977,97.4,3.97,71.1,Europe,2509048,3533.00391
Albania,1982,68.6,3.45,71.4,Europe,2780097,3630.880722
Albania,1987,47.9,3.16,72.2,Europe,3075321,3738.932735
Albania,1992,37.4,2.83,73.2,Europe,3326498,2497.437901
Albania,1997,30.3,2.42,72.9,Europe,3428038,3193.054604
Albania,2002,23.1,1.98,75.9,Europe,3508512,4604.211737
Albania,2007,16.7,1.67,77.5,Europe,3600523,5937.029526
Argentina,1952,88.8,3.16,64.2,Americas,17876956,5911.315053
Argentina,1957,93.6,3.13,65.2,Americas,19610538,6856.856212
Argentina,1962,64.9,3.09,65.8,Americas,21283783,7133.166023
Argentina,1967,58.6,3.05,66.5,Americas,22934225,8052.953021
Argentina,1972,69.7,3.15,67.3,Americas,24779799,9443.038526
Argentina,1977,55.6,3.39,67.7,Americas,26983828,10079.02674
Argentina,1982,36.5,3.21,70.9,Americas,29341374,8997.897412
Argentina,1987,29.1,3.06,72.1,Americas,31620918,9139.671389
Argentina,1992,27.3,2.91,72.8,Americas,33958947,9308.41871
Argentina,1997,22.1,2.66,73.6,Americas,36203463,10967.28195
Argentina,2002,18.3,2.52,74.3,Americas,38331121,8797.640716
Argentina,2007,15.7,2.41,75.3,Americas,40301927,12779.37964
Australia,1952,30.3,3.18,69.5,Oceania,8691212,10039.59564
Australia,1957,26.6,3.42,70.6,Oceania,9712569,10949.64959
Australia,1962,23.7,3.41,71.2,Oceania,10794968,12217.22686
Australia,1967,22,2.87,71.1,Oceania,11872264,14526.12465
Australia,1972,20.3,2.68,71.8,Oceania,13177000,16788.62948
Australia,1977,15.2,2.03,73.3,Oceania,14074100,18334.19751
Australia,1982,12.2,1.91,74.9,Oceania,15184200,19477.00928
Australia,1987,10.6,1.86,76.2,Oceania,16257249,21888.88903
Australia,1992,8.15,1.87,77.6,Oceania,17481977,23424.76683
Australia,1997,6.59,1.79,78.8,Oceania,18565243,26997.93657
Australia,2002,5.99,1.78,80.3,Oceania,19546792,30687.75473
Australia,2007,5.41,1.92,81.5,Oceania,20434176,34435.36744
Austria,1952,59.9,2.06,66.7,Europe,6927772,6137.076492
Austria,1957,50,2.57,67.8,Europe,6965860,8842.59803
Austria,1962,37.9,2.8,69.7,Europe,7129864,10750.72111
Austria,1967,30.5,2.62,70.2,Europe,7376998,12834.6024
Austria,1972,28,2.09,70.7,Europe,7544201,16661.6256
Austria,1977,19.4,1.63,72.2,Europe,7568430,19749.4223
Austria,1982,14.8,1.66,73.3,Europe,7574613,21597.08362
Austria,1987,11.2,1.43,75.1,Europe,7578903,23687.82607
Austria,1992,8.53,1.51,76.3,Europe,7914969,27042.01868
Austria,1997,6.01,1.39,77.7,Europe,8069876,29095.92066
Austria,2002,5.31,1.39,79,Europe,8148312,32417.60769
Austria,2007,4.65,1.38,80.3,Europe,8199783,36126.4927
Burundi,1952,277,6.8,40.8,Africa,2445618,339.2964587
Burundi,1957,262,6.85,42.6,Africa,2667518,379.5646281
Burundi,1962,248,7.05,44.4,Africa,2961915,355.2032273
Burundi,1967,247,7.25,45.6,Africa,3330989,412.9775136
Burundi,1972,250,7.31,17.1,Africa,3529983,464.0995039
Burundi,1977,247,7.41,47.8,Africa,3834415,556.1032651
Burundi,1982,204,7.42,48.9,Africa,4580410,559.603231
Burundi,1987,170,7.53,49.4,Africa,5126023,621.8188189
Burundi,1992,178,7.43,47.5,Africa,5809236,631.6998778
Burundi,1997,171,7.18,43,Africa,6121610,463.1151478
Burundi,2002,145,6.89,46.9,Africa,7021078,446.4035126
Burundi,2007,110,6.53,55.7,Africa,8390505,430.0706916
Belgium,1952,54,2.34,68,Europe,8730405,8343.105127
Belgium,1957,40.1,2.49,69.5,Europe,8989111,9714.960623
Belgium,1962,31.1,2.63,70.4,Europe,9218400,10991.20676
Belgium,1967,26.3,2.43,70.8,Europe,9556500,13149.04119
Belgium,1972,21.9,2.05,71.5,Europe,9709100,16672.14356
Belgium,1977,16.7,1.73,72.8,Europe,9821800,19117.97448
Belgium,1982,13.3,1.59,73.8,Europe,9856303,20979.84589
Belgium,1987,11,1.56,75.3,Europe,9870200,22525.56308
Belgium,1992,9.21,1.6,76.5,Europe,10045622,25575.57069
Belgium,1997,6.71,1.61,77.5,Europe,10199787,27561.19663
Belgium,2002,5.4,1.68,78.5,Europe,10311970,30485.88375
Belgium,2007,4.73,1.8,79.8,Europe,10392226,33692.60508
Benin,1952,342,5.83,43.8,Africa,1738315,1062.7522
Benin,1957,324,6.11,44.2,Africa,1925173,959.6010805
Benin,1962,301,6.39,45.3,Africa,2151895,949.4990641
Benin,1967,275,6.63,47.6,Africa,2427334,1035.831411
Benin,1972,254,6.82,49.3,Africa,2761407,1085.796879
Benin,1977,228,6.98,51.6,Africa,3168267,1029.161251
Benin,1982,207,7.02,53.2,Africa,3641603,1277.897616
Benin,1987,188,6.9,54.7,Africa,4243788,1225.85601
Benin,1992,167,6.6,56.4,Africa,4981671,1191.207681
Benin,1997,149,6.2,57.1,Africa,6066080,1232.975292
Benin,2002,133,5.82,57.9,Africa,7026113,1372.877931
Benin,2007,118,5.52,59.5,Africa,8078314,1441.284873
Burkina Faso,1952,375,6.09,36.7,Africa,4469979,543.2552413
